game_id,period,fouling_team,bonus_reached,team_fouls,shooting_fouls,personal_lb_fouls,opp_poss_in_bonus,fta_bonus,season,game_date,game_week
1022500009,3,SEA,False,3,3,0,0,0,2025_full,2025-05-19,1.0
1022500009,4,SEA,False,3,1,2,0,0,2025_full,2025-05-19,1.0
1022500010,1,CON,True,5,4,1,2,0,2025_full,2025-05-20,1.0
1022500010,2,CON,False,3,2,1,0,0,2025_full,2025-05-20,1.0
1022500010,3,CON,True,8,6,2,7,2,2025_full,2025-05-20,1.0
1022500010,4,CON,False,3,2,1,0,0,2025_full,2025-05-20,1.0
1022500010,1,LVA,False,3,0,2,0,0,2025_full,2025-05-20,1.0
1022500010,2,LVA,True,5,2,3,2,0,2025_full,2025-05-20,1.0
1022500010,3,LVA,True,6,2,4,11,4,2025_full,2025-05-20,1.0
1022500010,4,LVA,False,4,2,2,0,0,2025_full,2025-05-20,1.0
1022500011,1,IND,True,6,4,1,6,2,2025_full,2025-05-20,1.0
1022500011,2,IND,False,1,1,0,0,0,2025_full,2025-05-20,1.0
1022500011,3,IND,True,7,6,1,2,2,2025_full,2025-05-20,1.0
1022500011,4,IND,False,3,2,1,0,0,2025_full,2025-05-20,1.0
1022500011,1,ATL,True,5,3,2,6,0,2025_full,2025-05-20,1.0
1022500011,2,ATL,False,1,1,0,0,0,2025_full,2025-05-20,1.0
1022500011,3,ATL,True,7,3,4,13,4,2025_full,2025-05-20,1.0
1022500011,4,ATL,True,7,4,3,9,2,2025_full,2025-05-20,1.0
1022500012,1,MIN,False,3,1,2,0,0,2025_full,2025-05-21,1.0
1022500012,2,MIN,False,2,1,1,0,0,2025_full,2025-05-21,1.0
1022500012,3,MIN,True,6,2,4,7,4,2025_full,2025-05-21,1.0
1022500012,4,MIN,False,3,2,1,0,0,2025_full,2025-05-21,1.0
1022500012,1,DAL,False,3,1,2,0,0,2025_full,2025-05-21,1.0
1022500012,2,DAL,False,4,1,3,0,0,2025_full,2025-05-21,1.0
1022500012,3,DAL,True,5,1,3,1,2,2025_full,2025-05-21,1.0
1022500012,4,DAL,True,8,4,4,2,6,2025_full,2025-05-21,1.0
1022500013,1,GSV,True,5,1,3,5,0,2025_full,2025-05-21,1.0
1022500013,2,GSV,True,6,1,5,1,4,2025_full,2025-05-21,1.0
1022500013,3,GSV,False,3,2,1,0,0,2025_full,2025-05-21,1.0
1022500013,4,GSV,True,7,5,2,5,2,2025_full,2025-05-21,1.0
1022500013,1,WAS,False,3,3,0,0,0,2025_full,2025-05-21,1.0
1022500013,2,WAS,True,6,3,3,7,2,2025_full,2025-05-21,1.0
1022500013,3,WAS,True,5,2,3,1,0,2025_full,2025-05-21,1.0
1022500013,4,WAS,True,6,3,3,0,4,2025_full,2025-05-21,1.0
1022500014,1,PHX,False,2,2,0,0,0,2025_full,2025-05-21,1.0
1022500014,2,PHX,True,6,6,0,3,0,2025_full,2025-05-21,1.0
1022500014,3,PHX,False,4,1,3,0,0,2025_full,2025-05-21,1.0
1022500014,4,PHX,True,6,5,1,6,0,2025_full,2025-05-21,1.0
1022500014,1,LAS,False,3,2,1,0,0,2025_full,2025-05-21,1.0
1022500014,2,LAS,True,5,3,2,4,2,2025_full,2025-05-21,1.0
1022500014,3,LAS,False,2,1,1,0,0,2025_full,2025-05-21,1.0
1022500014,4,LAS,True,8,1,7,0,8,2025_full,2025-05-21,1.0
1022500015,1,ATL,False,4,1,3,0,0,2025_full,2025-05-22,1.0
1022500015,2,ATL,False,3,1,2,0,0,2025_full,2025-05-22,1.0
1022500015,3,ATL,False,3,0,3,0,0,2025_full,2025-05-22,1.0
1022500015,4,ATL,True,7,2,5,1,6,2025_full,2025-05-22,1.0
1022500015,1,IND,False,4,2,2,0,0,2025_full,2025-05-22,1.0
1022500015,2,IND,True,5,2,3,7,0,2025_full,2025-05-22,1.0
1022500015,3,IND,False,4,3,1,0,0,2025_full,2025-05-22,1.0
1022500015,4,IND,True,8,3,5,11,2,2025_full,2025-05-22,1.0
1022500016,1,CHI,False,4,2,2,0,0,2025_full,2025-05-22,1.0
1022500016,2,CHI,True,5,2,3,7,2,2025_full,2025-05-22,1.0
