team_abbr,player_id,player_name,projected_minutes
SEA,1641651.0,Jordan Horston,28.0
SEA,1628317.0,Karlie Samuelson,12.0
SEA,1629496.0,Ezi Magbegor,28.0
SEA,1643443.0,Awa Fam,12.0
SEA,1642798.0,Dominique Malonga,28.0
SEA,203828.0,Stefanie Dolson,12.0
TOR,,J. Alleman,28.0
TOR,,K. Rice,12.0
TOR,1628279.0,Brittney Sykes,28.0
TOR,1628915.0,Kia Nurse,12.0
TOR,1629497.0,Marina Mabrey,28.0
TOR,1642801.0,Aaliyah Nye,12.0
TOR,,L. Juskaite,28.0
TOR,204330.0,Isabelle Harrison,12.0
TOR,1627701.0,Temi Fagbenle,28.0
TOR,1631055.0,Nyara Sabally,12.0
WAS,1642781.0,Georgia Amoore,28.0
WAS,1628932.0,A'ja Wilson,12.0
WAS,1642785.0,Sonia Citron,28.0
WAS,1642802.0,Lucy Olsen,12.0
WAS,,M. Onyewere,28.0
WAS,1643430.0,Cotie McMahon,12.0
WAS,1642792.0,Kiki Iriafen,28.0
WAS,1643455.0,Angela Dugalic,12.0
WAS,1631022.0,Shakira Austin,28.0
WAS,1643427.0,Lauren Betts,12.0
