season,game_id,team,team_id,FGA,FTA,TOV,OREB,PTS,poss,pace,ortg,ot_periods,game_minutes
2025_full,1022500140,WAS,1611661322,69,14,17,7,80,82.0,82.0,97.56,0,40
2025_full,1022500139,CON,1611661323,83,16,8,12,77,80.0,80.0,96.25,0,40
2025_full,1022500139,IND,1611661325,59,29,12,5,85,80.0,80.0,106.25,0,40
2025_full,1022500144,NYL,1611661313,64,11,13,2,98,78.0,78.0,125.64,0,40
2025_full,1022500144,IND,1611661325,76,15,12,13,77,76.0,76.0,101.32,0,40
2025_full,1022500145,DAL,1611661321,85,11,11,9,86,84.0,84.0,102.38,0,40
2025_full,1022500145,LVA,1611661319,71,26,15,11,90,83.0,83.0,108.43,0,40
2025_full,1022500142,MIN,1611661324,68,14,13,7,79,78.0,78.0,101.28,0,40
2025_full,1022500142,PHX,1611661317,70,15,12,9,66,77.0,77.0,85.71,0,40
2025_full,1022500143,SEA,1611661328,64,22,7,6,67,72.0,72.0,93.06,0,40
2025_full,1022500143,GSV,1611661331,60,16,11,5,58,71.0,71.0,81.69,0,40
2025_full,1022500141,CHI,1611661329,71,8,13,9,49,73.0,73.0,67.12,0,40
2025_full,1022500141,ATL,1611661330,66,20,10,5,86,75.0,75.0,114.67,0,40
2025_full,1022500147,NYL,1611661313,64,21,19,4,98,88.0,88.0,111.36,0,40
2025_full,1022500147,IND,1611661325,74,14,19,6,84,90.0,90.0,93.33,0,40
2025_full,1022500149,LVA,1611661319,69,21,11,5,87,82.0,82.0,106.1,0,40
2025_full,1022500149,ATL,1611661330,65,17,19,5,72,83.0,83.0,86.75,0,40
2025_full,1022500146,WAS,1611661322,61,25,15,7,86,79.0,79.0,108.86,0,40
2025_full,1022500146,LAS,1611661320,68,14,16,11,93,76.0,76.0,122.37,0,40
2025_full,1022500148,MIN,1611661324,70,24,8,10,91,77.0,77.0,118.18,0,40
2025_full,1022500148,CHI,1611661329,61,16,21,12,68,74.0,74.0,91.89,0,40
2025_full,1022500150,SEA,1611661328,75,14,9,6,63,80.0,80.0,78.75,0,40
2025_full,1022500150,DAL,1611661321,71,17,15,9,87,81.0,81.0,107.41,0,40
2025_full,1022500151,PHX,1611661317,67,21,8,5,79,77.0,77.0,102.6,0,40
2025_full,1022500151,ATL,1611661330,68,15,8,4,90,77.0,77.0,116.88,0,40
2025_full,1022500152,CON,1611661323,76,23,13,10,86,85.0,85.0,101.18,0,40
2025_full,1022500152,LAS,1611661320,63,36,15,5,101,84.0,84.0,120.24,0,40
2025_full,1022500153,IND,1611661325,71,14,13,10,80,77.0,77.0,103.9,0,40
2025_full,1022500153,LVA,1611661319,67,17,14,9,70,77.0,77.0,90.91,0,40
2025_full,1022500154,CHI,1611661329,62,15,19,8,57,76.0,76.0,75.0,0,40
2025_full,1022500154,SEA,1611661328,69,15,10,8,95,77.0,77.0,123.38,0,40
2025_full,1022500155,NYL,1611661313,69,22,16,8,89,80.0,80.0,111.25,0,40
2025_full,1022500155,PHX,1611661317,77,13,14,9,76,80.0,80.0,95.0,0,40
2025_full,1022500156,MIN,1611661324,68,38,10,12,109,79.0,79.0,137.97,0,40
2025_full,1022500156,LVA,1611661319,71,23,6,10,78,78.0,78.0,100.0,0,40
2025_full,1022500157,GSV,1611661331,64,25,17,10,75,77.0,77.0,97.4,0,40
2025_full,1022500157,DAL,1611661321,64,19,13,7,71,76.0,76.0,93.42,0,40
2025_full,1022500159,NYL,1611661313,73,19,10,7,99,84.0,84.0,117.86,0,40
2025_full,1022500159,LAS,1611661320,76,18,12,9,101,85.0,85.0,118.82,0,40
2025_full,1022500160,WAS,1611661322,66,9,17,8,69,75.0,75.0,92.0,0,40
2025_full,1022500160,SEA,1611661328,67,11,14,7,58,77.0,77.0,75.32,0,40
2025_full,1022500162,DAL,1611661321,79,21,11,14,80,80.0,80.0,100.0,0,40
2025_full,1022500162,LVA,1611661319,74,24,10,11,106,80.0,80.0,132.5,0,40
2025_full,1022500163,WAS,1611661322,63,22,17,9,72,78.0,78.0,92.31,0,40
2025_full,1022500163,PHX,1611661317,68,14,13,6,88,78.0,78.0,112.82,0,40
2025_full,1022500161,CON,1611661323,66,14,16,8,95,78.0,78.0,121.79,0,40
2025_full,1022500161,GSV,1611661331,59,23,22,8,64,76.0,76.0,84.21,0,40
2025_full,1022500164,MIN,1611661324,66,8,16,4,86,80.0,80.0,107.5,0,40
2025_full,1022500164,ATL,1611661330,65,17,16,7,90,79.0,79.0,113.92,0,40
2025_full,1022500158,CHI,1611661329,65,14,20,7,78,82.0,82.0,95.12,0,40
2025_full,1022500158,IND,1611661325,70,16,11,7,93,81.0,81.0,114.81,0,40
2025_full,1022500166,DAL,1611661321,78,14,10,9,92,82.0,82.0,112.2,0,40
2025_full,1022500166,NYL,1611661313,64,24,12,5,82,82.0,82.0,100.0,0,40
2025_full,1022500165,CON,1611661323,67,26,13,3,85,83.0,83.0,102.41,0,40
2025_full,1022500165,SEA,1611661328,69,10,15,3,101,82.0,82.0,123.17,0,40
2025_full,1022500169,LAS,1611661320,69,19,19,7,74,81.0,81.0,91.36,0,40
2025_full,1022500169,LVA,1611661319,78,8,13,12,89,79.0,79.0,112.66,0,40
2025_full,1022500168,WAS,1611661322,71,27,10,9,39,78.0,78.0,50.0,0,40
2025_full,1022500168,CHI,1611661329,71,18,12,11,31,78.0,78.0,39.74,0,40
2025_full,1022500167,ATL,1611661330,64,21,6,8,75,66.0,66.0,113.64,0,40
2025_full,1022500167,GSV,1611661331,63,8,13,9,77,66.0,66.0,116.67,0,40
2025_full,1022500171,DAL,1611661321,68,8,8,5,85,72.0,72.0,118.06,0,40
2025_full,1022500171,ATL,1611661330,63,13,12,6,88,73.0,73.0,120.55,0,40
2025_full,1022500172,MIN,1611661324,73,19,10,11,100,79.0,79.0,126.58,0,40
2025_full,1022500172,NYL,1611661313,72,18,9,6,93,80.0,80.0,116.25,0,40
2025_full,1022500170,IND,1611661325,62,38,16,6,107,89.0,89.0,120.22,0,40
2025_full,1022500170,PHX,1611661317,73,26,17,6,101,91.0,91.0,110.99,0,40
2025_full,1022500173,WAS,1611661322,68,12,6,7,67,68.0,68.0,98.53,0,40
2025_full,1022500173,GSV,1611661331,57,15,14,6,68,69.0,69.0,98.55,0,40
2025_full,1022500177,DAL,1611661321,64,25,14,4,78,83.0,83.0,93.98,0,40
2025_full,1022500177,IND,1611661325,73,13,19,14,88,84.0,84.0,104.76,0,40
2025_full,1022500175,CON,1611661323,69,24,17,13,78,81.0,81.0,96.3,0,40
2025_full,1022500175,NYL,1611661313,59,17,21,7,62,78.0,78.0,79.49,0,40
2025_full,1022500178,SEA,1611661328,94,19,12,13,106,98.0,78.4,108.16,2,50
2025_full,1022500178,LAS,1611661320,88,25,18,12,108,99.0,79.2,109.09,2,50
2025_full,1022500176,CHI,1611661329,64,10,10,8,66,70.0,70.0,94.29,0,40
2025_full,1022500176,GSV,1611661331,65,16,9,5,73,70.0,70.0,104.29,0,40
2025_full,1022500174,ATL,1611661330,66,18,7,6,93,73.0,73.0,127.4,0,40
2025_full,1022500174,PHX,1611661317,70,17,9,9,72,72.0,72.0,100.0,0,40
2025_full,1022500179,LVA,1611661319,67,8,15,4,58,76.0,76.0,76.32,0,40
2025_full,1022500179,MIN,1611661324,71,14,10,10,111,75.0,75.0,148.0,0,40
2025_full,1022500183,LVA,1611661319,76,16,15,18,101,77.0,77.0,131.17,0,40
2025_full,1022500183,GSV,1611661331,73,18,10,17,77,72.0,72.0,106.94,0,40
