player_id,orapm,drapm,net_rapm,poss,season,season_type
1629483,3.6059422396208034,2.27285209860488,5.878794338225683,3305,2025,RS
1631007,3.2318543039190675,2.385945085647414,5.617799389566482,4059,2025,RS
203400,5.04094645198825,0.4679993717234261,5.508945823711676,4281,2025,RS
1628932,2.933167258473042,1.6980674929379467,4.631234751410989,4011,2025,RS
1641656,4.482553672765506,0.06912698077874269,4.551680653544248,1425,2025,RS
1630442,1.9524106789639322,2.4871326522730075,4.43954333123694,1731,2025,RS
1628269,1.7605080922123237,2.385863266856581,4.146371359068905,1805,2025,RS
1630134,2.26535950412635,1.7872909317502084,4.052650435876559,3633,2025,RS
1629498,2.000531502253735,1.6423906275153999,3.642922129769135,4609,2025,RS
1628280,1.7507906238793214,1.6812394501507892,3.4320300740301106,3299,2025,RS
1630387,1.6329261993927955,1.4640685212960127,3.096994720688808,1460,2025,RS
1629567,2.068922142754854,0.9991451294196606,3.0680672721745146,3170,2025,RS
1642303,-0.173413595718854,3.228456226012254,3.0550426302934,1903,2025,RS
1630996,2.041411662543216,0.902000637790519,2.943412300333735,1875,2025,RS
1628909,2.1638816852111686,0.7494871574146691,2.9133688426258377,4412,2025,RS
1629524,0.2748078033837825,2.5253818923974953,2.800189695781278,3834,2025,RS
1627672,0.33434690182302246,2.2355029554077643,2.569849857230787,450,2025,RS
204365,3.8559060417910622,-1.422918249782375,2.4329877920086873,3979,2025,RS
1627675,1.1015620352595603,1.3106277966497653,2.4121898319093256,4179,2025,RS
1629539,2.511256574747223,-0.11040158977709767,2.4008549849701253,462,2025,RS
1630149,1.4008394992966666,0.9708469888119502,2.371686488108617,2862,2025,RS
1628886,1.8832715839094467,0.2600643792130324,2.143335963122479,2277,2025,RS
1628878,1.0656182473884748,0.9839800998271104,2.049598347215585,2957,2025,RS
1629477,0.689659494813846,1.329188376781681,2.018847871595527,3767,2025,RS
1641648,1.2880969802896702,0.7262919275673808,2.014388907857051,3750,2025,RS
1627668,0.2360579082782656,1.7368164040778886,1.9728743123561543,3240,2025,RS
1629501,2.827876432562693,-0.9085343921929331,1.9193420403697599,3486,2025,RS
1642804,1.1554908457816988,0.7306828618236011,1.8861737076053,2185,2025,RS
1628277,1.7296610989022723,0.09031630829374343,1.8199774071960158,4018,2025,RS
1631009,0.32681919368505485,1.3776264305759263,1.7044456242609811,2677,2025,RS
1628279,1.147403899831485,0.405526021692156,1.5529299215236412,3722,2025,RS
203833,2.5172038925434808,-0.9793479695855445,1.5378559229579363,4486,2025,RS
1629496,2.0339818191865744,-0.5209766149066698,1.5130052042799047,3622,2025,RS
203825,-0.09234934166519307,1.5953658979538197,1.5030165562886266,3530,2025,RS
204333,0.2534322726631605,1.2331199751245663,1.4865522477877269,4073,2025,RS
1630097,-0.7085817328790955,2.1869697690367587,1.4783880361576631,1983,2025,RS
1630142,0.19456107602797423,1.2793098170489563,1.4738708930769304,3430,2025,RS
203826,1.0634320301172233,0.3709007692162885,1.4343327993335118,3523,2025,RS
204319,0.5861564737334015,0.6801173884803182,1.2662738622137197,4305,2025,RS
1642808,0.1987430876085816,1.0527757887748728,1.2515188763834544,2032,2025,RS
1627673,-0.14808408126485745,1.395333443738467,1.2472493624736096,2775,2025,RS
203026,0.7417672298328479,0.5035673945227251,1.2453346243555732,2111,2025,RS
1627700,1.5397475824975237,-0.31226278088854637,1.2274848016089774,3208,2025,RS
204324,2.6716795257852564,-1.4485666827669275,1.223112843018329,4106,2025,RS
1642777,0.35849781929192037,0.8427638718682555,1.201261691160176,2553,2025,RS
1631006,-1.3140796656923615,2.4902676740715064,1.176188008379145,1349,2025,RS
1629568,0.30624241338959957,0.8697785086048873,1.1760209219944868,2534,2025,RS
1628317,0.8814411287504712,0.24788627612760064,1.129327404878072,812,2025,RS
1642815,0.6998070970023293,0.42926455732056085,1.1290716543228903,830,2025,RS
1642792,-0.15933793147099348,1.265970977898534,1.1066330464275405,3487,2025,RS
1629491,-0.6655402342676379,1.7648080456880328,1.099267811420395,2730,2025,RS
1631086,0.23353086548072538,0.7909501422315353,1.0244810077122606,3437,2025,RS
1642800,-1.5726524899646248,2.5242162423258128,0.951563752361188,2224,2025,RS
1631044,-0.2191744739602458,1.1686018755581964,0.9494274015979506,2810,2025,RS
1630112,0.07154152216049757,0.8632923244379211,0.9348338465984187,248,2025,RS
1631083,1.922069684344881,-1.0121087871927943,0.9099608971520867,1893,2025,RS
1642304,-0.6683696711277841,1.578325476985674,0.9099558058578899,1862,2025,RS
1628931,0.44471677090047224,0.4567228128719767,0.9014395837724489,4105,2025,RS
203822,-0.3553215860958134,1.2302504406455321,0.8749288545497187,2051,2025,RS
203416,0.0033373373277710452,0.8306709290659291,0.8340082663937002,1424,2025,RS
1628244,0.48073563001539055,0.3507721130467862,0.8315077430621767,3546,2025,RS
1628926,0.5836276747345842,0.212692710937714,0.7963203856722982,1515,2025,RS
1641660,6.388615344286838,-5.661385744099783,0.7272296001870551,1002,2025,RS
1642785,0.18408295878898084,0.5368556929920536,0.7209386517810344,3711,2025,RS
1627674,0.6230354752561835,0.09555300016382454,0.718588475420008,1961,2025,RS
1642768,0.308994970535664,0.40434397360792107,0.7133389441435851,109,2025,RS
1629488,-0.0826884824954088,0.7934085006291605,0.7107200181337516,724,2025,RS
1642818,0.48666008355739887,0.20987934906957711,0.696539432626976,983,2025,RS
1642797,0.9557315940945413,-0.2920756003244596,0.6636559937700817,231,2025,RS
1631021,-0.0911358733627479,0.7456291207853531,0.6544932474226053,249,2025,RS
203035,0.40758911821743,0.20245964171080058,0.6100487599282306,853,2025,RS
1629574,0.11272840417918509,0.42371463162110773,0.5364430358002928,1690,2025,RS
203827,0.6048871810541395,-0.07140314901956403,0.5334840320345755,3328,2025,RS
201886,-1.8292999367017504,2.3130172272130713,0.48371729051132095,2561,2025,RS
203014,-2.137390049821217,2.615348343786207,0.47795829396499023,4271,2025,RS
1641641,-0.8958498521282172,1.3574506548388237,0.46160080271060644,211,2025,RS
1642814,0.06719331460488281,0.3655724793711194,0.43276579397600223,204,2025,RS
1628242,-0.8178486879318125,1.2116861502389806,0.3938374623071681,766,2025,RS
1628508,0.19598624187131616,0.1976519350704994,0.3936381769418156,1516,2025,RS
1628957,-1.2427018627904807,1.5654171692457828,0.3227153064553021,2664,2025,RS
204330,-0.3153587601273536,0.6205508703569914,0.3051921102296378,1398,2025,RS
203398,-0.708323945706008,1.0029124787158201,0.29458853300981214,2321,2025,RS
1630471,0.9788854224523521,-0.6897061494250387,0.2891792730273134,2354,2025,RS
1642244,0.019597478571143464,0.26766910803911015,0.2872665866102536,1333,2025,RS
1631064,0.09920237075644923,0.13084675929675219,0.23004913005320143,569,2025,RS
1627669,0.16031383302660332,0.0631372189187573,0.22345105194536063,152,2025,RS
1642293,-0.41220802231856896,0.6022405881824867,0.19003256586391776,336,2025,RS
203866,-0.011656601360670326,0.1938321464971511,0.1821755451364808,2298,2025,RS
202641,-1.3005170077495438,1.3342904065040895,0.03377339875454566,1153,2025,RS
1642822,-0.8571486436322816,0.8384872299693159,-0.018661413662965698,649,2025,RS
1630462,0.011463059775574443,-0.10983475722803587,-0.09837169745246144,1617,2025,RS
1627701,-1.4772772160750274,1.3144754115020632,-0.16280180457296423,2850,2025,RS
1627676,-2.512871842522031,2.3073060242387684,-0.20556581828326248,1859,2025,RS
1641652,1.164333533949056,-1.4348928110135792,-0.2705592770645233,2363,2025,RS
1628276,0.3310736310579833,-0.7074289202346719,-0.37635528917668853,5159,2025,RS
1642291,-0.6079379657856747,0.21918550089205158,-0.38875246489362314,3020,2025,RS
1642790,-0.07643393842769114,-0.3231721209385696,-0.39960605936626076,293,2025,RS
1642290,-2.075748998262968,1.6709843130869324,-0.4047646851760358,1829,2025,RS
1629546,-0.03693790100107554,-0.37202095253115497,-0.4089588535322305,2760,2025,RS
1642813,-0.1828385779424927,-0.26334605713829895,-0.44618463508079165,150,2025,RS
1642301,-0.44497432016936445,-0.0062926175919642635,-0.4512669377613287,182,2025,RS
