game_id,person_id,player_name,team,fga,fga_rim,fga_midrange,fga_3pt,fta,tov,season,on_court_poss,poss
1022500004,1630446,Onyenwere,CHI,7,2,3,2,0,1,2025_full,44.0,70.0
1022500004,1627671,Banham,CHI,8,0,2,6,0,1,2025_full,27.0,70.0
1022500004,203024,Dantas,IND,3,0,2,1,0,0,2025_full,11.0,69.0
1022500004,201886,Bonner,IND,9,6,1,2,4,0,2025_full,45.0,69.0
1022500004,1611661329,,,0,0,0,0,0,2,2025_full,,
1022500004,1611661325,,,0,0,0,0,0,1,2025_full,,
1022500004,1642818,Westbeld,CHI,3,0,2,1,0,0,2025_full,,70.0
1022500004,1642817,Van Lith,CHI,2,1,1,0,0,1,2025_full,,70.0
1022500004,1642815,Timpson,IND,1,1,0,0,2,1,2025_full,,69.0
1022500005,1630142,Fiebich,NYL,3,1,0,2,0,2,2025_full,62.0,78.0
1022500005,1628932,Wilson,LVA,22,10,9,3,8,4,2025_full,67.0,80.0
1022500005,1629477,Ionescu,NYL,12,3,4,5,2,0,2025_full,52.0,78.0
1022500005,203833,Gray,LVA,13,3,5,5,0,2,2025_full,72.0,80.0
1022500005,1627668,Stewart,NYL,14,8,4,2,5,0,2025_full,54.0,78.0
1022500005,1627673,Jones,NYL,12,7,2,3,6,2,2025_full,57.0,78.0
1022500005,204333,Cloud,NYL,17,9,4,4,6,2,2025_full,64.0,78.0
1022500005,1629498,Young,LVA,19,1,6,12,0,3,2025_full,70.0,80.0
1022500005,1627676,Mitchell,LVA,4,1,2,1,0,0,2025_full,53.0,80.0
1022500005,1629568,Burke,NYL,7,3,1,3,0,0,2025_full,37.0,78.0
1022500005,1630389,Evans,LVA,7,3,2,2,1,0,2025_full,37.0,80.0
1022500005,1631055,Sabally,NYL,4,3,1,0,2,0,2025_full,18.0,78.0
1022500005,204319,Loyd,LVA,10,2,2,6,0,1,2025_full,55.0,80.0
1022500005,203822,Gardner,NYL,1,0,0,1,0,0,2025_full,5.0,78.0
1022500005,204329,Stokes,LVA,1,0,0,1,0,0,2025_full,30.0,80.0
1022500005,1642801,Nye,LVA,2,1,0,1,0,0,2025_full,4.0,80.0
1022500005,1631006,Bell,LVA,3,1,1,1,0,0,2025_full,11.0,80.0
1022500005,1629546,Johannès,NYL,2,0,1,1,0,0,2025_full,41.0,78.0
1022500005,1642295,Kitley,LVA,1,1,0,0,0,0,2025_full,1.0,80.0
1022500006,203400,Diggins,SEA,14,1,10,3,7,4,2025_full,56.0,72.0
1022500006,1628931,Williams,SEA,9,3,5,1,2,1,2025_full,48.0,72.0
1022500006,203826,Thomas,PHX,13,6,7,0,7,3,2025_full,45.0,71.0
1022500006,202252,Clark,SEA,1,0,0,1,0,2,2025_full,39.0,72.0
1022500006,1628957,Westbeld,PHX,5,0,2,3,2,0,2025_full,65.0,71.0
1022500006,203014,Ogwumike,SEA,10,3,5,2,2,2,2025_full,41.0,72.0
1022500006,1630149,Sabally,PHX,17,2,6,9,7,2,2025_full,43.0,71.0
1022500006,1629496,Magbegor,SEA,9,3,3,3,2,0,2025_full,33.0,72.0
1022500006,1628244,Whitcomb,PHX,4,0,0,4,0,2,2025_full,30.0,71.0
1022500006,1631118,Held,PHX,9,2,3,4,2,2,2025_full,50.0,71.0
1022500006,204365,Wheeler,SEA,5,0,4,1,2,0,2025_full,30.0,72.0
1022500006,1611661328,,,0,0,0,0,0,1,2025_full,,
1022500006,1642798,Malonga,SEA,2,1,1,0,0,0,2025_full,16.0,72.0
1022500006,1628297,Prince,PHX,3,0,2,1,0,3,2025_full,44.0,71.0
1022500006,1629480,Brown,PHX,3,2,1,0,0,1,2025_full,26.0,71.0
1022500006,1628882,Brown,SEA,2,0,0,2,0,1,2025_full,18.0,72.0
1022500006,1642777,Akoa Makani,PHX,3,0,1,2,0,1,2025_full,18.0,71.0
1022500006,1629574,Yueru,SEA,6,1,3,2,4,0,2025_full,56.0,72.0
1022500006,1642244,Uzun,PHX,1,0,0,1,2,0,2025_full,34.0,71.0
1022500006,1611661317,,,0,0,0,0,0,3,2025_full,,
1022500006,1641660,Cooke,SEA,5,0,3,2,2,2,2025_full,23.0,72.0
1022500007,202250,Charles,CON,15,8,7,0,9,0,2025_full,32.0,45.0
1022500007,1630134,Sutton,WAS,7,1,4,2,0,1,2025_full,41.0,44.0
1022500007,1642292,Sheldon,CON,5,1,3,1,3,1,2025_full,33.0,45.0
1022500007,1628279,Sykes,WAS,13,6,6,1,13,4,2025_full,41.0,44.0
1022500007,1631135,Nelson-Ododa,CON,8,6,2,0,8,0,2025_full,32.0,45.0
1022500007,1629497,Mabrey,CON,21,7,6,8,0,3,2025_full,29.0,45.0
1022500007,203828,Dolson,WAS,3,0,0,3,0,1,2025_full,28.0,44.0
1022500007,1631022,Austin,WAS,5,5,0,0,0,0,2025_full,12.0,44.0
1022500007,1631083,Engstler,WAS,2,0,1,1,0,1,2025_full,12.0,44.0
1022500007,1642785,Citron,WAS,10,5,2,3,6,1,2025_full,24.0,44.0
1022500007,1628263,Allen,CON,5,2,3,0,3,0,2025_full,15.0,45.0
1022500007,1611661322,,,0,0,0,0,0,2,2025_full,,
1022500007,203863,Peters,CON,6,2,2,2,2,3,2025_full,24.0,45.0
1022500007,1642802,Olsen,WAS,2,1,0,1,0,2,2025_full,21.0,44.0
1022500007,1641641,Parks,CON,1,0,0,1,0,0,2025_full,14.0,45.0
1022500007,203829,Hartley,CON,4,1,1,2,3,3,2025_full,28.0,45.0
1022500007,1642792,Iriafen,WAS,10,6,4,0,4,3,2025_full,28.0,44.0
1022500007,1631141,Melbourne,WAS,8,4,0,4,6,1,2025_full,9.0,44.0
1022500007,1642773,Diaby,CON,1,1,0,0,0,2,2025_full,18.0,45.0
1022500007,1631021,Koné,WAS,2,2,0,0,0,0,2025_full,4.0,44.0
1022500007,1611661323,,,0,0,0,0,0,1,2025_full,,
1022500008,1627675,Williams,MIN,19,1,11,7,0,0,2025_full,43.0,59.0
1022500008,204324,Hamby,LAS,11,4,5,2,10,2,2025_full,44.0,57.0
1022500008,1629524,Carleton,MIN,7,1,3,3,4,0,2025_full,54.0,59.0
1022500008,1611661320,,,0,0,0,0,0,1,2025_full,,
1022500008,1628317,Samuelson,MIN,4,0,0,4,3,2,2025_full,46.0,59.0
1022500008,1642288,Jackson,LAS,11,2,6,3,0,3,2025_full,37.0,57.0
1022500008,1629501,Smith,MIN,10,2,1,7,0,1,2025_full,27.0,59.0
1022500008,203824,Sims,LAS,9,0,7,2,0,1,2025_full,36.0,57.0
1022500008,1629483,Collier,MIN,18,3,12,3,1,3,2025_full,42.0,59.0
1022500008,1628922,Stevens,LAS,12,1,4,7,3,0,2025_full,57.0,57.0
1022500008,1629491,Shepard,MIN,6,4,2,0,1,1,2025_full,39.0,59.0
1022500008,1628276,Plum,LAS,14,3,2,9,6,3,2025_full,55.0,57.0
1022500008,1629567,Hiedeman,MIN,5,1,3,1,2,0,2025_full,34.0,59.0
1022500008,1642782,Barker,LAS,3,0,0,3,4,2,2025_full,34.0,57.0
1022500008,1642763,Badiane,MIN,0,0,0,0,0,1,2025_full,5.0,59.0
1022500008,1641649,Miller,MIN,2,1,1,0,2,0,2025_full,5.0,59.0
1022500009,203014,Ogwumike,SEA,21,6,13,2,3,3,2025_full,62.0,76.0
1022500009,1630096,Carrington,DAL,8,4,2,2,0,2,2025_full,37.0,77.0
1022500009,1631019,Smith,DAL,6,3,2,1,6,2,2025_full,38.0,77.0
1022500009,202252,Clark,SEA,6,1,2,3,0,1,2025_full,38.0,76.0
1022500009,1629481,Ogunbowale,DAL,14,2,4,8,4,0,2025_full,55.0,77.0
1022500009,1628931,Williams,SEA,13,4,5,4,0,4,2025_full,63.0,76.0
1022500009,1629496,Magbegor,SEA,6,3,2,1,4,1,2025_full,35.0,76.0
1022500009,1642784,Bueckers,DAL,14,2,10,2,5,3,2025_full,62.0,77.0
1022500009,203400,Diggins,SEA,16,5,7,4,7,1,2025_full,69.0,76.0
1022500009,1630112,Harris,DAL,4,0,2,2,0,3,2025_full,39.0,77.0
1022500009,204365,Wheeler,SEA,2,0,1,1,4,0,2025_full,33.0,76.0
1022500009,1641652,Siegrist,DAL,10,1,5,4,2,0,2025_full,60.0,77.0
1022500009,1629479,McCowan,DAL,7,5,2,0,2,0,2025_full,29.0,77.0
1022500009,1629574,Yueru,SEA,5,1,4,0,0,0,2025_full,43.0,76.0
1022500009,1628899,Hines-Allen,DAL,9,6,3,0,0,3,2025_full,51.0,77.0
1022500009,1611661328,,,0,0,0,0,0,1,2025_full,,
1022500009,1642808,Quinerly,DAL,1,1,0,0,0,0,2025_full,3.0,77.0
1022500009,1642798,Malonga,SEA,1,1,0,0,0,1,2025_full,37.0,76.0
1022500009,1630097,Charles,DAL,0,0,0,0,0,1,2025_full,11.0,77.0
1022500009,1611661321,,,0,0,0,0,0,1,2025_full,,
1022500010,1629498,Young,LVA,9,7,0,2,5,3,2025_full,37.0,68.0
1022500010,1631135,Nelson-Ododa,CON,7,3,3,1,2,2,2025_full,33.0,70.0
1022500010,1628932,Wilson,LVA,16,9,4,3,12,2,2025_full,48.0,68.0
1022500010,1629497,Mabrey,CON,11,4,2,5,0,2,2025_full,27.0,70.0
1022500010,203833,Gray,LVA,7,2,2,3,7,3,2025_full,37.0,68.0
1022500010,1628263,Allen,CON,0,0,0,0,0,1,2025_full,14.0,70.0
1022500010,202250,Charles,CON,15,12,2,1,7,1,2025_full,41.0,70.0
1022500010,204319,Loyd,LVA,14,2,3,9,0,0,2025_full,33.0,68.0
1022500010,204329,Stokes,LVA,2,1,0,1,0,0,2025_full,37.0,68.0
1022500010,1642292,Sheldon,CON,7,0,5,2,0,4,2025_full,52.0,70.0
1022500010,204325,Bradford,LVA,2,1,0,1,0,0,2025_full,13.0,68.0
1022500010,203829,Hartley,CON,8,2,2,4,2,2,2025_full,35.0,70.0
1022500010,203863,Peters,CON,3,1,2,0,0,0,2025_full,30.0,70.0
1022500010,1642809,Rivers,CON,7,3,2,2,4,3,2025_full,37.0,70.0
1022500010,1627676,Mitchell,LVA,1,0,1,0,4,2,2025_full,29.0,68.0
1022500010,1630389,Evans,LVA,7,4,2,1,2,0,2025_full,40.0,68.0
1022500010,1611661323,,,0,0,0,0,0,2,2025_full,,
1022500010,1642796,Marshall,CON,3,2,0,1,0,0,2025_full,32.0,70.0
1022500010,1642773,Diaby,CON,1,1,0,0,2,1,2025_full,21.0,70.0
1022500010,1631006,Bell,LVA,3,0,0,3,0,0,2025_full,23.0,68.0
1022500010,1642801,Nye,LVA,3,0,0,3,0,1,2025_full,23.0,68.0
1022500010,1642295,Kitley,LVA,3,1,2,0,0,0,2025_full,20.0,68.0
1022500010,1611661319,,,0,0,0,0,0,2,2025_full,,
1022500010,1641641,Parks,CON,2,0,1,1,0,0,2025_full,28.0,70.0
1022500011,1628909,Mitchell,IND,15,8,4,3,4,1,2025_full,20.0,28.0
1022500011,1628277,Gray,ATL,15,4,1,10,4,1,2025_full,25.0,26.0
1022500011,1628280,Jones,ATL,12,9,1,2,10,3,2025_full,24.0,26.0
1022500011,1642286,Clark,IND,20,4,5,11,6,3,2025_full,25.0,28.0
1022500011,1631009,Howard,ATL,17,1,3,13,6,0,2025_full,23.0,26.0
1022500011,203827,Howard,IND,9,5,4,0,4,4,2025_full,17.0,28.0
1022500011,1642804,Paopao,ATL,2,1,0,1,1,2,2025_full,20.0,26.0
1022500011,203398,Griner,ATL,13,5,7,1,6,2,2025_full,24.0,26.0
1022500011,1641648,Boston,IND,13,9,3,1,7,2,2025_full,24.0,28.0
1022500011,1631086,Hull,IND,4,2,1,1,3,0,2025_full,10.0,28.0
1022500011,203024,Dantas,IND,1,0,1,0,0,1,2025_full,11.0,28.0
1022500011,202641,Colson,IND,2,0,1,1,0,2,2025_full,10.0,28.0
1022500011,201886,Bonner,IND,1,0,1,0,0,0,2025_full,18.0,28.0
1022500011,1629488,Turner,IND,3,2,1,0,2,1,2025_full,5.0,28.0
1022500011,1628278,Walker-Kimbrough,ATL,4,1,2,1,5,2,2025_full,4.0,26.0
1022500011,1630471,Caldwell,ATL,4,1,2,1,0,0,2025_full,6.0,26.0
1022500011,1631044,Hillmon,ATL,1,0,0,1,0,1,2025_full,,26.0
1022500012,1627675,Williams,MIN,13,2,7,4,2,6,2025_full,58.0,69.0
1022500012,1630096,Carrington,DAL,9,2,3,4,3,1,2025_full,50.0,65.0
1022500012,1631019,Smith,DAL,8,6,0,2,0,1,2025_full,43.0,65.0
1022500012,1628317,Samuelson,MIN,4,0,1,3,3,1,2025_full,30.0,69.0
1022500012,1629481,Ogunbowale,DAL,20,3,4,13,0,2,2025_full,65.0,65.0
1022500012,1629483,Collier,MIN,13,3,7,3,12,2,2025_full,66.0,69.0
1022500012,1628899,Hines-Allen,DAL,6,5,1,0,3,2,2025_full,36.0,65.0
1022500012,1629524,Carleton,MIN,10,4,2,4,0,1,2025_full,56.0,69.0
1022500012,1629501,Smith,MIN,9,2,0,7,2,2,2025_full,49.0,69.0
1022500012,1629567,Hiedeman,MIN,6,0,2,4,6,2,2025_full,56.0,69.0
1022500012,1642784,Bueckers,DAL,11,0,6,5,6,2,2025_full,54.0,65.0
1022500012,1611661324,,,0,0,0,0,0,2,2025_full,,
1022500012,1641652,Siegrist,DAL,8,2,2,4,0,1,2025_full,26.0,65.0
1022500012,1629491,Shepard,MIN,4,3,1,0,0,3,2025_full,26.0,69.0
1022500012,1630112,Harris,DAL,3,0,0,3,0,0,2025_full,13.0,65.0
1022500012,1630097,Charles,DAL,5,2,1,2,0,2,2025_full,6.0,65.0
1022500012,1629479,McCowan,DAL,1,1,0,0,2,0,2025_full,32.0,65.0
1022500012,1611661321,,,0,0,0,0,0,3,2025_full,,
1022500013,1642767,Salaün,GSV,11,0,7,4,0,3,2025_full,42.0,56.0
1022500013,1628279,Sykes,WAS,19,1,13,5,13,1,2025_full,47.0,58.0
1022500013,203866,Thornton,GSV,14,1,5,8,5,1,2025_full,38.0,56.0
1022500013,203828,Dolson,WAS,6,2,3,1,0,2,2025_full,18.0,58.0
1022500013,1631007,Burton,GSV,11,1,6,4,8,3,2025_full,43.0,56.0
1022500013,1611661322,,,0,0,0,0,0,1,2025_full,,
1022500013,203026,Hayes,GSV,4,0,2,2,2,0,2025_full,23.0,56.0
1022500013,1630134,Sutton,WAS,2,0,1,1,0,0,2025_full,23.0,58.0
1022500013,1627701,Fágbénlé,GSV,10,2,6,2,0,2,2025_full,26.0,56.0
1022500013,1642792,Iriafen,WAS,11,7,4,0,0,0,2025_full,39.0,58.0
1022500013,1642785,Citron,WAS,11,0,5,6,2,1,2025_full,33.0,58.0
1022500013,1631022,Austin,WAS,1,1,0,0,1,5,2025_full,10.0,58.0
1022500013,1631021,Koné,WAS,5,0,4,1,1,2,2025_full,20.0,58.0
1022500013,1642324,Martin,GSV,2,0,0,2,0,0,2025_full,8.0,56.0
1022500013,1642802,Olsen,WAS,4,0,1,3,2,0,2025_full,33.0,58.0
1022500013,1642210,Vanloo,GSV,4,0,0,4,0,1,2025_full,13.0,56.0
1022500013,1631141,Melbourne,WAS,5,1,2,2,1,5,2025_full,32.0,58.0
1022500013,203855,Talbot,GSV,2,0,0,2,2,1,2025_full,20.0,56.0
1022500013,1628881,Billings,GSV,7,1,3,3,3,0,2025_full,34.0,56.0
1022500013,1631083,Engstler,WAS,2,1,0,1,2,1,2025_full,35.0,58.0
1022500013,1642304,Leite,GSV,7,1,0,6,6,0,2025_full,33.0,56.0
1022500013,1611661331,,,0,0,0,0,0,2,2025_full,,
1022500014,1630149,Sabally,PHX,16,5,7,4,14,2,2025_full,55.0,83.0
1022500014,1628276,Plum,LAS,19,5,5,9,10,8,2025_full,75.0,79.0
1022500014,204324,Hamby,LAS,13,8,2,3,2,0,2025_full,35.0,79.0
1022500014,203826,Thomas,PHX,10,7,3,0,6,4,2025_full,70.0,83.0
1022500014,203824,Sims,LAS,7,3,2,2,4,2,2025_full,45.0,79.0
1022500014,1628957,Westbeld,PHX,5,1,0,4,0,2,2025_full,39.0,83.0
1022500014,1642777,Akoa Makani,PHX,8,0,2,6,0,0,2025_full,45.0,83.0
1022500014,1628244,Whitcomb,PHX,7,1,0,6,4,0,2025_full,60.0,83.0
1022500014,1628922,Stevens,LAS,12,6,2,4,8,1,2025_full,61.0,79.0
1022500014,1642244,Uzun,PHX,4,1,1,2,0,1,2025_full,29.0,83.0
1022500014,1642782,Barker,LAS,7,2,0,5,0,2,2025_full,71.0,79.0
1022500014,1629480,Brown,PHX,4,3,0,1,2,0,2025_full,31.0,83.0
1022500014,1628242,Cannon,LAS,4,1,0,3,1,1,2025_full,17.0,79.0
1022500014,1629490,Laksa,PHX,9,0,1,8,0,3,2025_full,48.0,83.0
1022500014,1627700,Allemand,LAS,3,0,0,3,0,2,2025_full,18.0,79.0
1022500014,1611661320,,,0,0,0,0,0,1,2025_full,,
1022500014,1642820,King,LAS,2,2,0,0,1,0,2025_full,19.0,79.0
1022500014,1631118,Held,PHX,4,2,0,2,0,0,2025_full,30.0,83.0
1022500014,1642790,Feagin,LAS,1,0,1,0,0,0,2025_full,2.0,79.0
1022500015,1628280,Jones,ATL,13,6,3,4,7,0,2025_full,51.0,67.0
1022500015,1642286,Clark,IND,11,0,6,5,5,4,2025_full,58.0,67.0
1022500015,201886,Bonner,IND,2,0,1,1,2,2,2025_full,29.0,67.0
1022500015,203398,Griner,ATL,6,0,5,1,2,3,2025_full,36.0,67.0
1022500015,1641648,Boston,IND,7,1,6,0,0,0,2025_full,39.0,67.0
1022500015,203827,Howard,IND,17,7,8,2,2,2,2025_full,45.0,67.0
1022500015,1631009,Howard,ATL,17,0,10,7,6,3,2025_full,51.0,67.0
1022500015,1628909,Mitchell,IND,19,1,12,6,4,3,2025_full,41.0,67.0
1022500015,1642804,Paopao,ATL,9,1,2,6,2,2,2025_full,42.0,67.0
1022500015,1611661330,,,0,0,0,0,0,2,2025_full,,
1022500015,1630471,Caldwell,ATL,2,0,2,0,0,1,2025_full,33.0,67.0
1022500015,203024,Dantas,IND,5,0,2,3,0,0,2025_full,28.0,67.0
1022500015,1631086,Hull,IND,7,0,5,2,0,0,2025_full,51.0,67.0
1022500015,1628277,Gray,ATL,13,2,6,5,4,1,2025_full,50.0,67.0
1022500015,1629482,Cunningham,IND,6,1,1,4,2,2,2025_full,31.0,67.0
1022500015,1631044,Hillmon,ATL,1,1,0,0,2,1,2025_full,25.0,67.0
1022500015,1628269,Coffey,ATL,5,0,0,5,0,1,2025_full,35.0,67.0
1022500015,1628278,Walker-Kimbrough,ATL,1,0,0,1,0,0,2025_full,12.0,67.0
1022500016,1627668,Stewart,NYL,8,1,2,5,4,4,2025_full,37.0,73.0
1022500016,1628915,Nurse,CHI,5,0,0,5,0,2,2025_full,32.0,77.0
1022500016,1629477,Ionescu,NYL,9,1,3,5,3,3,2025_full,35.0,73.0
1022500016,1642291,Reese,CHI,8,7,1,0,6,5,2025_full,47.0,77.0
1022500016,1627673,Jones,NYL,6,2,0,4,0,3,2025_full,36.0,73.0
1022500016,1628878,Atkins,CHI,8,2,2,4,3,1,2025_full,30.0,77.0
1022500016,204333,Cloud,NYL,10,4,1,5,2,2,2025_full,47.0,73.0
1022500016,1642289,Cardoso,CHI,8,8,0,0,0,2,2025_full,37.0,77.0
1022500016,202664,Vandersloot,CHI,11,2,4,5,2,4,2025_full,39.0,77.0
1022500016,204296,Allen,CHI,8,2,3,3,4,3,2025_full,41.0,77.0
1022500016,1630142,Fiebich,NYL,5,3,0,2,0,0,2025_full,34.0,73.0
1022500016,1629546,Johannès,NYL,5,0,0,5,0,3,2025_full,47.0,73.0
1022500016,1627671,Banham,CHI,7,0,0,7,0,1,2025_full,53.0,77.0
1022500016,1629568,Burke,NYL,6,2,0,4,4,0,2025_full,47.0,73.0
1022500016,1642817,Van Lith,CHI,4,1,0,3,6,0,2025_full,36.0,77.0
1022500016,1630446,Onyenwere,CHI,4,3,1,0,0,3,2025_full,31.0,77.0
1022500016,204322,Williams,CHI,5,3,2,0,3,2,2025_full,33.0,77.0
1022500016,203822,Gardner,NYL,4,2,0,2,0,1,2025_full,33.0,73.0
1022500016,1611661329,,,0,0,0,0,0,1,2025_full,,
1022500016,1631055,Sabally,NYL,0,0,0,0,2,0,2025_full,19.0,73.0
1022500016,204330,Harrison,NYL,2,0,2,0,0,2,2025_full,12.0,73.0
1022500016,1642320,Sherrod,NYL,3,1,0,2,1,0,2025_full,9.0,73.0
1022500016,1642301,Davis,NYL,0,0,0,0,0,1,2025_full,9.0,73.0
1022500016,1611661313,,,0,0,0,0,0,1,2025_full,,
1022500016,1642818,Westbeld,CHI,1,0,1,0,0,0,2025_full,6.0,77.0
1022500017,1629497,Mabrey,CON,19,2,5,12,4,3,2025_full,48.0,65.0
