game_id,team,fta_shooting_at_rim,fta_shooting_midrange,fta_shooting_3pt,fta_shooting_unknown,fta_and_one_at_rim,fta_and_one_midrange,fta_and_one_3pt,fta_and_one_unknown,fta_bonus,fta_tech,fga_at_rim,fga_midrange,fga_3pt,personal_lb_fouls,personal_lb_fouls_bonus,season,poss,fta_shooting,fta_and_one,fta_total,fga_total,ftr,fta_per_100,shooting_foul_rate_per_fga,bonus_fta_per_100,personal_lb_foul_rate,bonus_conversion_rate,shooting_fta_at_rim_per_fga_at_rim,shooting_fta_midrange_per_fga_midrange,shooting_fta_3pt_per_fga_3pt
1022500001,WAS,2,0,2,22,1,0,0,0,4,0,15,28,18,13,5,2025_full,71.0,26,1,31,61,0.5081967213114754,43.66197183098591,0.4262295081967213,5.633802816901409,18.30985915492958,0.38461538461538464,0.13333333333333333,0.0,0.1111111111111111
1022500001,ATL,0,0,4,8,3,1,0,0,10,1,21,17,36,4,2,2025_full,66.0,12,4,27,74,0.36486486486486486,40.909090909090914,0.16216216216216217,15.151515151515152,6.0606060606060606,0.5,0.0,0.0,0.1111111111111111
1022500002,DAL,0,4,0,14,0,0,0,0,6,0,21,31,14,5,2,2025_full,73.0,18,0,24,66,0.36363636363636365,32.87671232876712,0.2727272727272727,8.21917808219178,6.8493150684931505,0.4,0.0,0.12903225806451613,0.0
1022500002,MIN,0,2,0,17,3,1,0,0,4,1,20,26,20,11,3,2025_full,68.0,19,4,28,66,0.42424242424242425,41.17647058823529,0.2878787878787879,5.88235294117647,16.176470588235293,0.2727272727272727,0.0,0.07692307692307693,0.0
1022500003,LAS,0,0,0,12,0,1,0,2,6,0,20,24,19,8,0,2025_full,72.0,12,3,21,63,0.3333333333333333,29.166666666666668,0.19047619047619047,8.333333333333332,11.11111111111111,0.0,0.0,0.0,0.0
1022500003,GSV,2,0,3,6,1,0,0,0,0,1,15,13,35,9,4,2025_full,76.0,11,1,13,63,0.20634920634920634,17.105263157894736,0.1746031746031746,0.0,11.842105263157894,0.4444444444444444,0.13333333333333333,0.0,0.08571428571428572
1022500004,IND,2,2,0,12,1,0,0,0,8,0,37,17,21,10,1,2025_full,69.0,16,1,25,75,0.3333333333333333,36.231884057971016,0.21333333333333335,11.594202898550725,14.492753623188406,0.1,0.05405405405405406,0.11764705882352941,0.0
1022500004,CHI,0,0,0,8,0,0,0,0,2,2,27,25,27,10,4,2025_full,70.0,8,0,12,79,0.1518987341772152,17.142857142857142,0.10126582278481013,2.857142857142857,14.285714285714285,0.4,0.0,0.0,0.0
1022500005,LVA,2,2,0,0,4,1,0,0,0,4,23,27,32,9,3,2025_full,80.0,4,5,13,82,0.15853658536585366,16.25,0.04878048780487805,0.0,11.25,0.3333333333333333,0.08695652173913043,0.07407407407407407,0.0
1022500005,NYL,0,0,0,10,3,2,0,0,6,0,34,17,21,8,0,2025_full,78.0,10,5,21,72,0.2916666666666667,26.923076923076923,0.1388888888888889,7.6923076923076925,10.256410256410255,0.0,0.0,0.0,0.0
1022500006,PHX,0,2,4,8,1,1,0,0,4,1,12,22,24,9,2,2025_full,71.0,14,2,21,58,0.3620689655172414,29.577464788732392,0.2413793103448276,5.633802816901409,12.676056338028168,0.2222222222222222,0.0,0.09090909090909091,0.16666666666666666
1022500006,SEA,2,0,0,12,1,0,0,0,6,0,12,34,17,9,2,2025_full,72.0,14,1,21,63,0.3333333333333333,29.166666666666668,0.2222222222222222,8.333333333333332,12.5,0.2222222222222222,0.16666666666666666,0.0,0.0
1022500007,WAS,4,2,0,12,5,0,0,0,6,0,30,17,15,19,7,2025_full,44.0,18,5,29,62,0.46774193548387094,65.9090909090909,0.2903225806451613,13.636363636363635,43.18181818181818,0.3684210526315789,0.13333333333333333,0.11764705882352941,0.0
1022500007,CON,2,0,0,10,2,1,0,1,12,1,28,24,14,10,3,2025_full,45.0,12,4,29,66,0.4393939393939394,64.44444444444444,0.18181818181818182,26.666666666666668,22.22222222222222,0.3,0.07142857142857142,0.0,0.0
1022500008,LAS,0,0,0,12,0,1,0,0,10,1,10,24,26,13,2,2025_full,57.0,12,1,24,60,0.4,42.10526315789473,0.2,17.543859649122805,22.807017543859647,0.15384615384615385,0.0,0.0,0.0
1022500008,MIN,0,0,0,6,1,1,0,1,4,0,13,33,25,10,3,2025_full,59.0,6,3,13,71,0.18309859154929578,22.033898305084744,0.08450704225352113,6.779661016949152,16.94915254237288,0.3,0.0,0.0,0.0
1022500009,SEA,0,0,0,12,0,2,0,0,4,1,21,34,15,3,0,2025_full,76.0,12,2,19,70,0.2714285714285714,25.0,0.17142857142857143,5.263157894736842,3.9473684210526314,0.0,0.0,0.0,0.0
1022500009,DAL,2,2,0,13,2,0,0,0,0,0,24,30,19,10,2,2025_full,77.0,17,2,19,73,0.2602739726027397,24.675324675324674,0.2328767123287671,0.0,12.987012987012985,0.2,0.08333333333333333,0.06666666666666667,0.0
1022500010,LVA,6,2,0,19,1,0,0,0,2,0,27,14,26,11,3,2025_full,68.0,27,1,30,67,0.44776119402985076,44.11764705882353,0.40298507462686567,2.941176470588235,16.176470588235293,0.2727272727272727,0.2222222222222222,0.14285714285714285,0.0
1022500010,CON,0,0,2,8,1,0,0,0,6,0,28,19,17,5,1,2025_full,70.0,10,1,17,64,0.265625,24.285714285714285,0.15625,8.571428571428571,7.142857142857142,0.2,0.0,0.0,0.11764705882352941
1022500011,ATL,2,0,2,21,1,0,0,0,6,0,22,16,30,9,3,2025_full,26.0,25,1,32,68,0.47058823529411764,123.07692307692308,0.36764705882352944,23.076923076923077,34.61538461538461,0.3333333333333333,0.09090909090909091,0.0,0.06666666666666667
1022500011,IND,0,0,0,17,3,0,0,0,6,0,30,21,17,3,2,2025_full,28.0,17,3,26,68,0.38235294117647056,92.85714285714286,0.25,21.428571428571427,10.714285714285714,0.6666666666666666,0.0,0.0,0.0
1022500012,DAL,4,0,0,4,1,1,0,0,4,0,21,17,33,12,5,2025_full,65.0,8,2,14,71,0.19718309859154928,21.53846153846154,0.11267605633802817,6.153846153846154,18.461538461538463,0.4166666666666667,0.19047619047619047,0.0,0.0
1022500012,MIN,2,0,3,10,0,0,0,0,10,2,14,20,25,8,2,2025_full,69.0,15,0,27,59,0.4576271186440678,39.130434782608695,0.2542372881355932,14.492753623188406,11.594202898550725,0.25,0.14285714285714285,0.0,0.12
1022500013,WAS,0,4,0,8,2,2,0,0,6,1,13,33,20,9,3,2025_full,58.0,12,4,23,66,0.3484848484848485,39.6551724137931,0.18181818181818182,10.344827586206897,15.517241379310345,0.3333333333333333,0.0,0.12121212121212122,0.0
1022500013,GSV,0,0,0,16,0,1,1,0,8,2,6,29,37,11,3,2025_full,56.0,16,2,28,72,0.3888888888888889,50.0,0.2222222222222222,14.285714285714285,19.642857142857142,0.2727272727272727,0.0,0.0,0.0
