player_name,poss,net_rapm,orapm,drapm,rapm_reconstructed,residual,ots,otov,oreb,otrans,dts,dtov,dreb,dtrans
Brionna Jones,8646,7.67,4.374,3.297,1.954,5.716,0.010687161069666495,-0.014300347202195612,0.02301165375581643,-0.002942126551869123,0.010718943293315242,0.00841341484518221,0.042354431041904145,0.012222097935195575
A'ja Wilson,13175,7.463,4.818,2.646,2.675,4.788,0.033034610432182365,-0.02404383057021263,-0.0363544553979083,0.0016363131205342496,0.013078097359644436,-0.0018987838232869536,0.030461174467557584,0.011348611452422108
Rhyne Howard,9453,6.196,1.069,5.127,1.366,4.83,-0.006301945057416991,-0.017738287959479238,0.002380561945672627,0.014683279626054313,0.012472946501430937,-0.0011131252415329251,0.03501849124285425,-0.016824712481218362
Veronica Burton,8174,4.952,3.673,1.279,0.989,3.963,-0.005814173032034242,-0.005255005715327554,0.03851620850543774,-0.019879592803321217,0.017576154071893113,0.0006085135128708619,0.005497086721449718,0.005676391018635346
Nneka Ogwumike,12153,4.803,3.521,1.282,1.701,3.102,0.0036670285185071982,-0.01597208525225613,-0.02819587915708427,0.011404210763446665,-0.005135916233148463,0.018293482874638334,-0.0022993533375601782,-0.009748282892430904
Jonquel Jones,9626,4.788,3.712,1.077,0.921,3.867,0.01768035089046327,0.004339583800336472,0.0025037071789981713,-0.005793458707581467,0.02829358328072379,-0.017336129776285375,0.023835176780851258,0.02062950156227103
Breanna Stewart,11500,4.751,1.562,3.19,1.215,3.536,0.010436841972435884,-0.006589550445335629,-0.001001173335555966,0.009337784419043982,0.022881747255435514,-0.008674203510049855,0.025916168581209542,0.01748084664869673
Leila Lacan,2681,4.588,1.132,3.456,0.116,4.472,0.004359164249026493,0.0014999302197619413,0.019814390419295724,0.01673190126308316,-0.01804892845563877,0.011006029126955197,-0.026129290201956923,0.03805311187727442
Napheesa Collier,11209,4.581,2.158,2.423,1.778,2.803,0.009504648783007053,-0.007149760882943973,-0.0071929853245648046,0.005311003259727387,0.029348263959086462,0.009286809418889125,-0.010677324669134625,0.02883582237612048
Skylar Diggins,8476,4.45,4.75,-0.3,1.92,2.53,0.005185801571885307,-0.01357512801908789,-0.02055991660158213,0.013728148753292369,-0.0004771863478152394,0.022882453313850443,-0.0074651688878647204,-0.008647996431996763
Alyssa Thomas,13292,4.337,3.426,0.91,1.408,2.929,0.009624647148692045,-0.005466333640739979,-0.002175109744764231,0.014536155726680655,-0.0023785049540516745,0.018970987127963274,0.011604838319136751,0.020420653116013543
Satou Sabally,8360,4.267,4.005,0.262,1.265,3.002,0.009712198587416343,-0.008934750721356577,0.04416068793632494,0.019250621555627845,-0.010611167418619671,0.009354057155901374,-0.0001212997108901992,-0.0013227666849219277
Alanna Smith,10599,4.256,2.994,1.262,1.777,2.479,0.004866246993659562,-0.006431629731598609,0.002477283541056141,0.006162864046264316,0.02549103538548808,0.015404488592164034,-0.008598850917136885,0.022888035705471987
Brittney Sykes,9229,4.074,0.308,3.766,1.477,2.597,0.0067665268462252515,0.0005588212059133568,-0.03331954458977915,0.011715259410252699,0.0039505693506803885,0.023274935489275367,-0.005118931247509423,0.0008445813986379114
Chelsea Gray,11566,4.019,3.612,0.407,2.237,1.782,0.03016209066569986,-0.01685201435797304,-0.03409061599918953,-0.003552663158723768,0.017189617236561594,-0.007203470228203723,0.016671308285031355,0.009108848685005333
Natasha Mack,4478,3.653,0.817,2.835,0.678,2.975,-0.004311827159320325,0.0005091011112215715,0.0050419773890429676,-0.0031444398333618784,0.031681149645078066,-0.01020302297190126,-0.023008774813608912,0.00103283336123966
Julie Allemand,3430,3.59,3.632,-0.042,0.599,2.991,0.018527736088055802,-0.0032755592201261508,-0.008293834532968586,0.02625097888167055,-0.008744816712681791,-0.010103359455289812,-0.010923195124364043,0.001182358066785183
Bridget Carleton,10136,3.488,1.73,1.758,1.585,1.903,0.00418495378282735,-0.0021897706790348914,0.00441877004871169,-0.0013333376646804673,0.031780734017414936,0.013250664731364437,-0.015823259598896577,0.0332732904818305
